,Any Opiate,,Heroin,,Natural and semisynthetic opioids,,Methadone,,Other synthetic opioids,
Year,Number,Deaths per 100000,Number,Deaths per 100000,Number,Deaths per 100000,Number,Deaths per 100000,Number,Deaths per 100000
2006,"17,545",5.9,"2,088",0.7,"7,017",2.3,"5,406",1.8,"2,707",0.9
2007,"18,516",6.1,"2,399",0.8,"8,158",2.7,"5,518",1.8,"2,213",0.7
2008,"19,582",6.4,"3,041",1,"9,119",3,"4,924",1.6,"2,306",0.8
2009,"20,422",6.6,"3,278",1.1,"9,735",3.1,"4,696",1.5,"2,946",1
2010,"21,089",6.8,"3,036",1,"10,943",3.5,"4,577",1.5,"3,007",1
2011,"22,784",7.3,"4,397",1.4,"11,693",3.7,"4,418",1.4,"2,666",0.8
2012,"23,166",7.4,"5,925",1.9,"11,140",3.5,"3,932",1.2,"2,628",0.8
2013,"25,052",7.9,"8,257",2.7,"11,346",3.5,"3,591",1.1,"3,105",1
2014,"28,647",9,"10,574",3.4,"12,159",3.8,"3,400",1.1,"5,544",1.8
2015,"33,091",10.4,"12,989",4.1,"12,727",3.9,"3,301",1,"9,580",3.1
2016,"42,249",13.3,"15,469",4.9,"14,487",4.4,"3,373",1,"19,413",6.2
2017,"47,600",14.9,"15,482",4.9,"14,495",4.4,"3,194",1,"28,466",9
