Location,0-24,25-34,35-44,45-54,55+,Total
United States,2376,4026,4713,5874,2592,19582
Alabama,18,54,57,41,15,185
Alaska,13,16,21,27,11,88
Arizona,57,83,112,160,82,494
Arkansas,34,52,54,44,13,197
California,173,244,375,601,408,1801
Colorado,36,64,78,107,70,355
Connecticut,37,46,58,69,20,230
Delaware,N/A,21,18,14,N/A,65
District of Columbia,N/A,N/A,N/A,17,10,31
Florida,194,334,329,439,182,1478
Georgia,67,91,96,99,51,404
Hawaii,N/A,N/A,N/A,26,10,53
Idaho,N/A,N/A,N/A,N/A,N/A,72
Illinois,125,212,221,207,81,846
Indiana,49,73,88,68,33,311
Iowa,13,26,35,34,19,127
Kansas,12,15,21,31,17,96
Kentucky,41,94,105,94,31,365
Louisiana,22,26,30,38,14,130
Maine,N/A,28,26,38,N/A,105
Maryland,61,89,134,158,71,513
Massachusetts,54,138,157,197,50,596
Michigan,77,132,144,208,82,643
Minnesota,22,51,53,76,25,227
Mississippi,N/A,N/A,N/A,N/A,N/A,106
Missouri,63,108,122,131,51,475
Montana,N/A,12,22,23,N/A,70
Nebraska,N/A,N/A,N/A,11,N/A,29
Nevada,40,71,90,130,66,397
New Hampshire,N/A,20,21,31,14,94
New Jersey,52,71,82,92,34,331
New Mexico,32,75,76,100,41,324
New York,117,195,255,377,172,1116
North Carolina,117,175,219,256,78,846
North Dakota,N/A,N/A,10,N/A,N/A,32
Ohio,86,200,208,212,108,814
Oklahoma,52,72,92,150,44,410
Oregon,37,67,85,101,52,342
Pennsylvania,106,126,139,180,60,611
Rhode Island,N/A,28,36,38,23,133
South Carolina,25,42,43,73,35,218
South Dakota,N/A,N/A,N/A,N/A,N/A,31
Tennessee,53,84,136,146,61,480
Texas,140,210,238,244,112,944
Utah,45,101,59,111,34,350
Vermont,N/A,12,N/A,19,11,57
Virginia,67,118,140,126,39,490
Washington,61,115,146,249,119,690
West Virginia,41,90,103,102,35,371
Wisconsin,48,82,90,101,48,369
Wyoming,N/A,N/A,11,10,N/A,40
